"Bug ID,""Summary"",""Severity""";
"6362,""[blocking test automation] Viewer Crashing if we try to submit formvalues using javascript method submit()."",""blocker""";
"7468,""Garbage characters in form list boxes."",""blocker""";
"6635,""Views that have visibility hidden still eat events"",""blocker""";
"6768,""[BLOCKER]Need architecture for focused text widget"",""blocker""";
"5352,""navigator.javaEnabled() is always false"",""blocker""";
"6712,""[BLOCK] Native Gtk combobox is a grey rectangle, unusable"",""blocker""";
"9335,""[PP] Crash entering any URL in URL Bar and pressing enter"",""blocker""";
"8254,""Parser hangs on External DTDs don't have doctype declaration header"",""blocker""";
"9328,""Need to turn on XML_DTD flag to enable external DTD support in expat"",""blocker""";
"9322,""Changing window to be a box and autosizing is cause bizarre behavior for dialogs"",""blocker""";
"9447,""What's Related in Sidebar is broken"",""blocker""";
"9407,""iframes don't display at all in xul loaded with CreateTopLevelWindow"",""blocker""";
"10010,""[PP]crash on startup on linux"",""blocker""";
"11561,""Need a cookie project on Mac"",""blocker""";
"11657,""Page Reload doesn't work"",""blocker""";
"5729,""window.open opens multiple windows with the same window name"",""blocker""";
"12141,""Shift_JIS to Unicode conversion failure"",""blocker""";
"11985,""[BLOCKER] XUL keybindings trigger action even when control key is not pressed"",""blocker""";
"11693,""GFX widgets: adding content to empty combo boxes causes strange layouts"",""blocker""";
"6414,""XUL-based UI: fail to render non-English text in menu & menuitems"",""blocker""";
"12228,""crash on load"",""blocker""";
"8803,""Linux/Slackware: undefined iostream symbols, app won't start"",""blocker""";
"7926,""[BLOCKER] Need to be able to access attributes and methods of xpconnect-wrapped DOM objects in JavaScript"",""blocker""";
"9052,""crash when starting apprunner (debug build June 29)"",""blocker""";
"12475,""[Blocker] Wallet resetting form values."",""blocker""";
"12884,""Controls don't work with API.xs"",""blocker""";
"12949,""[PP][blocker]The correct frame is not found when window is scrolled"",""blocker""";
"8443,""[Blocker]HTTP charset does not work"",""blocker""";
"9166,""Need API to determine Screen chrome"",""blocker""";
"13077,""crash when I type in the URL bar or in the text area in the password dialog"",""blocker""";
"3322,""[PP][BLOCK]ender/wallet -- select ONCHANGE handler failures"",""blocker""";
"12163,""Tree does not handle dynamically added treeitems (rows) when scrollbar turned on"",""blocker""";
"11388,""Dialogs with tab widgets do not handle intrinsic sizing"",""blocker""";
"9471,""Box needs scrollbar"",""blocker""";
"13955,""[BLOCKER] Crash when selecting item in context menu"",""blocker""";
"13986,""[BLOCKER] Can't connect context menu to browser content window"",""blocker""";
"13058,""[BLOCKER] Need to implement nsIStatefulFrame.h for form elements"",""blocker""";
"13452,""[BLOCKER] Need hack to ignore absolute window X,Y on screen"",""blocker""";
"14223,""JavaScript code not executed if a form appears first in the page"",""blocker""";
"11782,""[Blocker]The Generated content's frame doesn't update when content changes"",""blocker""";
"15269,""Clicking in the Location Bar hangs the Linux client."",""blocker""";
"9660,""sched: Tree column resizing"",""blocker""";
"15596,""[BLOCKER] Modal dialogs cannot accept input"",""blocker""";
"8850,""sched: [PP] [DOGFOOD] nsIWidget::CaptureMouse not implemented"",""blocker""";
"11304,""[BLOCKER] XUL Popups need to be rewritten using xp-menu code"",""blocker""";
"13375,""[Perf] small gif in background makes page VERY slow"",""blocker""";
"12246,""xpscrollbars don't work on mac"",""blocker""";
"16415,""Back/Forward not functional"",""blocker""";
"16550,""[DOGFOOD][BLOCKER] [Regression] Can't reply to messages using html"",""blocker""";
"15771,""scrolling in sidebar bookmarks crashes"",""blocker""";
"15992,""line breaks within script and style elements not counting"",""blocker""";
"16854,""Compilation error in GtkMozillaContainer.cpp"",""blocker""";
"14319,""Cannot set bugzilla target-milestone combobox"",""blocker""";
"15841,""SELECT has the first option selected when it should have none"",""blocker""";
"15769,""[BLOCKER][CRASHER][TESTCASE] Having <select></select> without options inside crash application."",""blocker""";
"6871,""[PP][Mac][BLOCKER]gfx rendered drop-down lists don't get placed 'on top'"",""blocker""";
"15856,""[PP] hitting RETURN in open location dialog fails"",""blocker""";
"13598,""nsAutoString ucs2(CBufDescriptor(""""ucs2"""", PR_TRUE, strlen(""""ucs2""""))) crashes"",""blocker""";
"16832,""xpcom/proxy addref/release problem. was:window.confirm() crashes."",""blocker""";
"16506,""CSSLoader::LoadAgentSheet - failed to get converter stream"",""blocker""";
"17418,""crash on clicking radio button"",""blocker""";
"16639,""[DOGFOOD][CRASH] assertion when exiting page with image"",""blocker""";
"14812,""[DOGFOOD][CRASH][PP]Resizing Bookmarks window crashes appruner on Mac"",""blocker""";
"17835,""[BLOCKER][CRASHER][TESTCASE][DOGFOOD] Swapping focus,assigning value onFucus, changing window locaion crashes application."",""blocker""";
"18276,""[CRASH] in gtk code when trying to paste unicode"",""blocker""";
"17708,""build fails on AIX compiling layout/html/base/src/nsDST.cpp"",""blocker""";
"18183,""[blocker][sink]Need new method for select content to know when complete"",""blocker""";
"18536,""[DOGFOOD]Text areas not posting properly"",""blocker""";
"19173,""Need Truncate() call in nsFileSpec for fur's cache work"",""blocker""";
"12477,""template usage in html:select gives extra blank option"",""blocker""";
"19381,""[DOGFOOD] [REGRESION] Printing no longer works"",""blocker""";
"17519,""[DOGFOOD] selects showing up with wrong thing initially selected"",""blocker""";
"17995,""[DOGFOOD][BLOCKER]Browser crashes on Safe Form Fill"",""blocker""";
"12408,""[Feature][Dogfood] Focus and Command Dispatching"",""blocker""";
"8851,""[PP][BLOCKER] nsIWidget::CaptureMouse not implemented on Mac"",""blocker""";
"7571,""[Dogfood]MacOS activate/deactivate events are getting dropped"",""blocker""";
"7410,""Feature: Need <splitter>"",""blocker""";
"13406,""[BLOCK] can't differentiate btw leaving frame & entering child with [mouse/drag]Exit events"",""blocker""";
"16176,""[DOGFOOD] need to annotate line frames with whitespace trimming info"",""blocker""";
"12687,""sched: need component specific chrome registry support"",""blocker""";
"20161,""[DOGFOOD]Crashing in delete in nsBoxFrame"",""blocker""";
"12520,""{css3} GFX select elements need to be able to turn off text selection"",""blocker""";
"19572,""[DOGFOOD] Scrolling is really screwed up"",""blocker""";
"21139,""[DOGFOOD] crash calling event state manager with null event"",""blocker""";
"20933,""mozilla crashes in nsBoxFrame::LayoutChildrenInRect"",""blocker""";
"16968,""[DOGFOOD] bugzilla doesn't go to the next bug automatically"",""blocker""";
"17500,""[dogfood] Viewsource is broken..."",""blocker""";
"10335,""[NECKO]Correct time is not displayed when loading url from the command line"",""blocker""";
"14457,""[BLOCKER] Viewer can no longer cycle through multiple pages"",""blocker""";
"16418,""[CRASH][DOGFOOD] Submit a form at excite.com + you crash"",""blocker""";
"13585,""files in ftp directories not clickable"",""blocker""";
"10456,""[DOGFOOD] [BLOCKER] External entity loading should be asynchronous"",""blocker""";
"11286,""printing problems due to lack of doc loader notification"",""blocker""";
"14209,""FTP crashing at ftp.netscape.com, ftp://sweetlou, etc."",""blocker""";
"11630,""[BLOCKER] cookie problem - unable to set multiple cookies in one response"",""blocker""";
"10905,""[BLOCKER] Necko: Whole mailbox doesn't get parsed"",""blocker""";
"11016,""[BLOCKER] Opening a document in xul causes a crash"",""blocker""";
"10765,""[PP] """"Related Links"""" does not open list of related sites."",""blocker""";
"8552,""translation of the bugzilla page wont work - crash"",""blocker""";
"17496,""[DOGFOOD]Crash trying to query on bugs on Bugsplat"",""blocker""";
"11923,""document.write() crashes"",""blocker""";
"10797,""[PP][blocker] Necko: Messenger hangs trying to send or recieve mail"",""blocker""";
"16709,""[DOGFOOD]dataloss because ender stores state in frames, not DOM."",""blocker""";
"18046,""[DOGFOOD] nsISelectionController needs IDL and implementation finished"",""blocker""";
"19206,""[blocker]reference to out of scope nsAutoString::GetUnicode()"",""blocker""";
"13495,""[BLOCKER] html:input inside of tree widget has height that is too small"",""blocker""";
"14470,""crash in nsMenuFrame"",""blocker""";
"20738,""[blocker][DOGFOOD] password dialog in mail doesn't work/go away"",""blocker""";
"22133,""Recent gtk widget changes broke build for commercial compilers"",""blocker""";
"18784,""[blocker]Selects created via the DOM do not work"",""blocker""";
"20528,""No longer able to build NSPR on UnixWare 7.1.0"",""blocker""";
"20333,""Browser crashes upon viweing of this page"",""blocker""";
"21723,""[DOGFOOD] FTP OnDataAvailable starving UI thread"",""blocker""";
"18149,""[DOGFOOD][blocker] bad consolidation of platform-specific code (nsFilePath)"",""blocker""";
"23847,""Crash when viewing Tinderbox"",""blocker""";
"17088,""[BLOCKER] dogfood [TESTCASE] OnLoad handler not called if page comes from memory cache"",""blocker""";
"17474,""html and input buttons do not obey CSS width,height"",""blocker""";
"23697,""[BLOCKER] SELECT form control rendering incorrectly"",""blocker""";
"18679,""[ACROBAT][DOGFOOD][BETA] Adobe Acrobat Plug-in Crashes M10 Build"",""blocker""";
"20225,""[DOGFOOD] Need focus from eventstatemanager"",""blocker""";
"25105,""Some BSD platforms do not have ENOLINK"",""blocker""";
