"592,""NGLayout crashes when loading this URL"",""critical""";;
"1189,""Assert in table code"",""critical""";;
"1253,""Crashes when you try to read this html file"",""critical""";;
"1379,""ss: crash because table frame has a displayType of inline"",""critical""";;
"1463,""ss: XPViewer sucks resources resizing/maximizing on win95"",""critical""";;
"1487,""ss: Directory listing URLs crash NGLayout"",""critical""";;
"1638,""Layout of ftp page is extremely slow, slower than NOVA"",""critical""";;
"1857,""Clicking on """"blank"""" areas of page crashes"",""critical""";;
"2168,""Missing attributes when searching..."",""critical""";;
"2363,""[PP]:All Javascript code is removed from html!"",""critical""";;
"2274,""Crash while parsing"",""critical""";;
"2410,""Parser crash"",""critical""";;
"2429,""Crash with <XMP> tag"",""critical""";;
"2448,""Parser crash"",""critical""";;
"2526,""[PP] ComputeAvailSpaceRect crash"",""critical""";;
"2474,""Parser crash"",""critical""";;
"2854,""matchValue() is missing the normalize argument..."",""critical""";;
"2819,""Various formatting CSS objects not displaying at all"",""critical""";;
"3003,""Parser crash"",""critical""";;
"3238,""Table is not centered"",""critical""";;
"3506,""Bug in autoreg or services loader"",""critical""";;
"4224,""Mac crashes on startup in XPCOM"",""critical""";;
"4480,""Need a plug-ins directory for seamonkey on launch"",""critical""";;
"4533,""4 second delay on opening page"",""critical""";;
"4655,""Hang/Crash at Netcenter CareerCenter page"",""critical""";;
"4643,""webpages don't get scrollbars"",""critical""";;
"4326,""x86 Assembly code used when compiling on an Alpha"",""critical""";;
"2118,""OBJECTs degrade incorrectly"",""critical""";;
"4463,""Default encoding for XUL/XML/RDF should use UTF-8"",""critical""";;
"4939,""Seamonkey fails to print, crashes Mac OS"",""critical""";;
"3410,""Memory leak on PR_Read"",""critical""";;
"5552,""MLK: all image decoders"",""critical""";;
"3522,""Crash at this page, parsing illegal frameset html"",""critical""";;
"5266,""crash in javascript..."",""critical""";;
"4127,""[BLOCK] MLK:  We are leaking the entire nsWebShellWindow"",""critical""";;
"5925,""Crash: http://www.elpais.es crashes"",""critical""";;
"6168,""[CRASH, BLOCK] Submitting a form crashes browser"",""critical""";;
"5076,""ANSI C++ violation in layout/base/src/nsContentList.cpp"",""critical""";;
"1266,""[PP]hang in network or parser code with IFRAME"",""critical""";;
"4874,"".xml page did not load"",""critical""";;
"3800,""apprunner/viewer quits when loading a page with an applet"",""critical""";;
"3396,""Text does not appear on the screen"",""critical""";;
"6784,""[CRASH] Printing crashes on Mac"",""critical""";;
"6346,""[BLOCKING WALLET]form submission no longer works"",""critical""";;
"5966,""intermittent infinite loop in range code"",""critical""";;
"5602,""Strange uninitialized variable will give unpredictable behavior"",""critical""";;
"5190,""Tables - Gecko Crashes When a table is root element"",""critical""";;
"6518,""crash loading XML file"",""critical""";;
"7344,""second mail message viewed causes crash"",""critical""";;
"7713,""Assertion fails using Purify for NT"",""critical""";;
"7442,""[CRASH] Combo boxes crashing big time"",""critical""";;
"7544,""Crash loading a page of different charset under KO default"",""critical""";;
"6959,""infinite loop in nsStr::FindSubstr"",""critical""";;
"8287,""infinite loop in dom range gravity code"",""critical""";;
"2341,""Charset Handling- Parser does not use default charset value set by Default Charset Menu"",""critical""";;
"3758,""Drag selecting entire content, then deleting, causes crash"",""critical""";;
"7193,""Multiple APPLET tags results in one plug-in instance"",""critical""";;
"4631,""[PP]gcc 2.7.2.3 barfage on wallet.cpp"",""critical""";;
"8088,""Crash related to stylesheet loading"",""critical""";;
"4883,""[PP] Apprunner frequently crashing in CalcOffset (upon closing Window)"",""critical""";;
"4219,""scribble.exe in the nightly builds crashes"",""critical""";;
"6135,""Crash on nsPluginsDirWin.cpp"",""critical""";;
"4793,""( top) in objectclass..."",""critical""";;
"8370,""CRASH: body with style of display:table"",""critical""";;
"6937,""Possible view heirarchy issues"",""critical""";;
"4041,""Crash in CNavDTD::CloseTopmostContainer(), see comment..."",""critical""";;
"8408,""Parser crashes in loading big DTD file (>=11k)"",""critical""";;
"8354,""Unclosed <label> blocks browser"",""critical""";;
"5829,""ImageLib 2 breaks OBJECT images"",""critical""";;
"9320,""Crash-Loading this page"",""critical""";;
"9160,""[crash][pp]mouseover the back button creates empty windows"",""critical""";;
"9207,""Click on toplevel menu in plaintext editor causes crash"",""critical""";;
"9353,""crash opening local mail hierarchy"",""critical""";;
"9475,""[PP] Intrinsic sizing doesn't work under unix"",""critical""";;
"4467,""Major printing problems with the Viewer app"",""critical""";;
"7308,""THREADING: xpcom FindFactory() randomly fails."",""critical""";;
"10104,""Crashing from parser in call to Append"",""critical""";;
"3605,""[top100] crash occurs attempting load electronic arts site"",""critical""";;
"9190,""nsStr::Compare bug"",""critical""";;
"9279,""nsString2::Equals(nsString& and nsStr&, ...) bug..."",""critical""";;
"10728,""solaris compilation errors on widget/src/gtk/nsWindow.cpp"",""critical""";;
"11059,""Menus do not display in 1999-07-31-09-M9 build"",""critical""";;
"5447,""apprunner crashes on any XUL that has ENTITYs"",""critical""";;
"10911,""Showing Channels or sidebar causes nsCellMap precondition"",""critical""";;
"10431,""Core dump performing update"",""critical""";;
"10271,""selection crashes viewer on test11 page"",""critical""";;
"4917,""[OPT] example number 4 displays incorrectly, may crash browser"",""critical""";;
"3517,""Table crash on border collapse style being set"",""critical""";;
"10296,""CRASH: vertical-align on table cell is length or percentage"",""critical""";;
"8032,""'display: table-column-group' CSS2 property causes crash."",""critical""";;
"9024,""CRASH: insertRow() on TBODY with border-collapse: collapse"",""critical""";;
"12316,""{PP]--enable-monolithic-toolkit is broken on all unix platforms"",""critical""";;
"12534,""mouseover scroll bar in prefs and manage bookmarks crashes apprunner"",""critical""";;
"11007,""Menus only garbage as contents"",""critical""";;
"12702,""Cookies not working at all (well a little now)"",""critical""";;
"11583,""[dogfood] [blocker] Need XP context and popup menus"",""critical""";;
"8936,""Crash: Selection of word-spacing/letter-spacing text corrupts rendering"",""critical""";;
"13488,""[perf] Optimize nsDateTimeFormatWin::FormatTMTime()"",""critical""";;
"9023,""[PP] NT - Pages won't display if non-western charset specified"",""critical""";;
"11611,""[BLOCK] Need Modal flag for window.open"",""critical""";;
"14157,""[BETA] crash, maybe from interrupting url load"",""critical""";;
"9886,""[Crasher] closing child window through JS is causing parent window to be closed."",""critical""";;
"14466,""Crash while viewing page"",""critical""";;
"13582,""MLK: rendering contexts"",""critical""";;
