"681,""ugly link parses incorrectly, source gets put into content"",""major""";;
"2697,""Parser freeze"",""major""";;
"2698,""Parser freeze"",""major""";;
"644,""Checking on named anchors (#foo) in page forces reload"",""major""";;
"815,""We shouldn't process content inside <NOSCRIPT> tags"",""major""";;
"907,""Too many Selector and SelectorList"",""major""";;
"859,""crash with LI in table"",""major""";;
"1201,""Plugins ignore size parameters and display in 50 x 50 box"",""major""";;
"1269,""Pages with tables are appearing partially or not at all"",""major""";;
"1204,""scrollbars shouldn't be shown"",""major""";;
"1352,""nsString::ToNewCString()"",""major""";;
"1375,""ss:Crash in Parser after visiting page with plugin"",""major""";;
"1395,""table lays out at content's maxElementSize"",""major""";;
"1335,""Search problems against Exchange LDAP servers"",""major""";;
"1434,""Table Column Memory Leak"",""major""";;
"1504,""ss:Memory leak of select element"",""major""";;
"1658,""body tag incorrectly added to frameset doc & Thin black rect on right edge"",""major""";;
"1608,""page looks like it went through a paper shredder"",""major""";;
"1566,""Incorrect layout of page"",""major""";;
"1699,""<P> tag after </TR> closes table before </TABLE>"",""major""";;
"1747,""Purify Reported ABR"",""major""";;
"1725,""content missing, parsing error for <form> in <table>?"",""major""";;
"1671,""Table layout incorrect"",""major""";;
"1858,""Changing display and through Javascript"",""major""";;
"1950,""[PP] Linux viewer doesn't display test0.html"",""major""";;
"1959,""HTTP """"Link"""" header prevents page from rendering!!!"",""major""";;
"1961,""Selection of preferred stylesheets via HTTP header is not possible"",""major""";;
"1962,""HTTP header """"Content-Style-Type"""" is ignored"",""major""";;
"1963,""Style element """"type"""" attribute is ignored"",""major""";;
"2054,""Canvas background is not set correctly"",""major""";;
"2266,""table layout is very confused"",""major""";;
"2381,""http://www.rsac.org/homepage.asp: App hangs - does not load"",""major""";;
"2390,""[PP] http://www.sportsline.com/: Only object that loads on page is the top table"",""major""";;
"2397,""[PP] http://www.sony.com/: background does not render"",""major""";;
"2275,""Body colour not inherited in table"",""major""";;
"2279,""[PP] Linux and hidden form fields"",""major""";;
"2456,""Purify Memory Leak Warnings"",""major""";;
"2530,""mulivalued lists do not maintain their order"",""major""";;
"2547,""[PP] Mac only - Crash at this site as it loads"",""major""";;
"2650,""www.hotwired.com pop-down menus not rendering"",""major""";;
"2715,""warnings: hiding inherited virtual functions"",""major""";;
"2777,""TEXTAREA elements do not render before forms"",""major""";;
"2853,""Removing and adding attribute values gives Perl error"",""major""";;
"2809,""Tables containing comments lay out wrong"",""major""";;
"2789,""viewer core dumps immediately"",""major""";;
"2825,""Phrasal Elements in H[1-6]s cause H[1-6] element to break"",""major""";;
"2808,""Mozilla 5 supports XML, but it does not announce it in it's HTTP request headers..."",""major""";;
"2780,""Scroll bars ignore overflowed contents of explicitly sized box"",""major""";;
"3231,""ldap_extended_operation() bug - Renders extended operations non-functional"",""major""";;
"3286,""browser crashes in layout"",""major""";;
"3321,""purify reports UMR in PaintUnicode"",""major""";;
"3242,""crash in StyleContextImpl destructor"",""major""";;
"3263,""Part of these tables do not display"",""major""";;
"3304,""This page (with comments) does not load completely!"",""major""";;
"3503,""BODY BACKGROUND not rendered on this page"",""major""";;
"3542,""all 'auto' values in ua.css should be changed to '1em'"",""major""";;
"3560,""MLK: memory leak in Tokenizer or Parser."",""major""";;
"3670,""Incorrect use of PL_Hash"",""major""";;
"3853,""[BLOCK] Title button widget causes infinite redraw"",""major""";;
"3835,""incrementally adding a caption crashes"",""major""";;
"3862,""euc conversion have problem"",""major""";;
"3866,""XP-COM problem- EUC-JP and ISO-2022-JP converter does not get load on Mac"",""major""";;
"3980,""Unicode Conversion-Buffer boundary problem"",""major""";;
"4048,""Line breaking- Hankaku Katakana kinsoku does not work"",""major""";;
"3983,""(crasher) Mishandling of HTTP """"301-Permanently Moved"""" Responses"",""major""";;
"4387,""many pages render very slowly"",""major""";;
"4562,""[PP] Menu bar is blank after exiting StdFile dialog"",""major""";;
"4755,""SGI/native compiler errors on expat/xmlparse/xmlparse.c"",""major""";;
"4744,""[CRASH] while loading above URL"",""major""";;
"4932,""wallet bustage: seems to be due to problems in raptor"",""major""";;
"4592,""Can not access the length of plugins array."",""major""";;
"3457,""weird dependence on floats for box size"",""major""";;
"3308,""<head><img ..> crashes the viewer"",""major""";;
"4215,""CNavDTD does not grok optional BODY start tags"",""major""";;
"4783,""table looks wrong and banner in the wrong place"",""major""";;
"4672,""simplified chinese gb2312 to unicode conversion failed"",""major""";;
"4676,""traditional chinese - x-euc-tw to unicode conversion failed"",""major""";;
"526,""Won't Compile on Sparc Linux (Redhat 5.1)"",""major""";;
"416,""Mozilla compile fails under AIX 4.1"",""major""";;
"3949,""NSPR gives me a compile error on Linux."",""major""";;
"4311,""Pages w/a DOCTYPE are blank...?"",""major""";;
"5257,""Page not rendered at all"",""major""";;
"5680,""Assertion in background rendering code (image tiling)"",""major""";;
"5275,""Reload button makes Apprunner crashes"",""major""";;
"5751,""Character Set menu does not work in no meta euc-tw page"",""major""";;
"5644,""Character Set menu does not work in Frame"",""major""";;
"5611,""Line break within </A> tag breaks link handling"",""major""";;
"467,""Undefined references in $CODEROOT/nsprpub/pr/src/linking/prlink.c"",""major""";;
"5759,""[table] incremental reflow assertion setting cell text via dom"",""major""";;
"3082,""Switch to the new registry API nsIRegistry"",""major""";;
"4693,""KOI8-R page does not display the correct characters"",""major""";;
"4185,""Page causes browser to quit"",""major""";;
"4825,""[4.xP]FONT FACE element effects other elements - in this case main body content gets moved down the page"",""major""";;
"4577,""incremental reflow problems in table + area frames"",""major""";;
"6554,""onmouse Over effect"",""major""";;
"2981,""[4.xP] Image alignment problem"",""major""";;
"3421,""Linking to a non-existent file:// stylesheet prevents application of styles!"",""major""";;
"6158,""align attribute causes image links to malfunction"",""major""";;
"5382,""CSS crash on securemed.com"",""major""";;
"3387,""Document.writes of framesets create documents with null URLs"",""major""";;
"4692,""ISO-8859-5 page does not display the correct characters"",""major""";;
"6843,""document.aForm.aSelect.options[document.aForm.aSelect.selectedIndex].selected is false"",""major""";;
"6774,""Transfer interrupted! error in this page"",""major""";;
"6777,""Apprunner hangs after loading this page"",""major""";;
"6831,""HTML META Charset does not work"",""major""";;
"6885,""[PP][CRASH]selecting Bookmarks|Personal Bookamarks crashes when empty"",""major""";;
"6446,""[PP] Closing browser while loading image triggers a crash"",""major""";;
"7242,""Linux -Error loading this URL"",""major""";;
"7241,""Linux -Error loading this URL"",""major""";;
"7311,""Crash when opening file in browser"",""major""";;
"2184,""Print Preview, Two Column crashes with Demo 8"",""major""";;
"7473,""HTML meta charaset does not work"",""major""";;
"6892,""[PP] the browser window keeps popping up to the front of the window you are using."",""major""";;
"6232,""JavaScript not working, producing strange results..."",""major""";;
"7423,""HTTP-Equiv charset handling is not working"",""major""";;
"7035,""Browser Character Menu contains 4 """"ISO-8859-1"""" entries."",""major""";;
"7793,""Browser Defaut Character set menu contains 2 """"Macintosh Roman"""" entries"",""major""";;
"6813,""UTF-7 page is not displayed correctly"",""major""";;
"6611,""A reference held to a DOM object by JavaScript doesn't prevent its deletion."",""major""";;
"4381,""Dynamic update of combo box widget"",""major""";;
"5888,""Binary compatibility with COM broken"",""major""";;
"6814,""UTF-7 IMAP4rev1 modified version page is not displayed correctly"",""major""";;
"5723,""parser strip out Unicode U+xx00 from html attribute"",""major""";;
"2542,""Resize expands JS/JPEG  pix endlessly"",""major""";;
"4598,""Can't place '#' in general entity value without escaping"",""major""";;
"6094,""Parser causes segfault (+stacktrace)"",""major""";;
"5725,""document layout incorrect.  Parser error?"",""major""";;
"1677,""Selecting justified text does strange things."",""major""";;
"5486,""[CRASH] - clicking in document selects text and crashes app"",""major""";;
"7033,""[Regression] Selection does not work in main apprunner window"",""major""";;
"3751,""Resizing window with image selected crashes Gecko"",""major""";;
"3652,""MLK: nsCaret during firing"",""major""";;
"2883,""[PP] Crash exiting apprunner"",""major""";;
"3147,""crash when switching tests"",""major""";;
"2535,""Widgets don't stop repeating when disposed->crash"",""major""";;
"3148,""Crash when mouse moves after switching tests"",""major""";;
"4319,""scrolling view corner misplaced"",""major""";;
"7462,""default/initial text doesn't appear in <textarea>"",""major""";;
"4754,""[M4] nsDrawingSurfaceGTK::Lock() aborts with X error in gdk_image_get()"",""major""";;
"5768,""Build fails on Digital Unix"",""major""";;
"1661,""xpviewer crashes on startup"",""major""";;
"3564,""MLK: GTK code, leaking vertical scrollbar"",""major""";;
"3619,""Array bounds write:  GTK nsListBox"",""major""";;
"6356,""need UCS-4 converter"",""major""";;
"1621,""[PP]fails to display default selection on in-page drop box"",""major""";;
"5732,""Collapsed toolbars cannot be un-collapsed"",""major""";;
"8739,""Program freeze"",""major""";;
"5762,""Apprunner crashes on this particular page reflow (2 broken images)"",""major""";;
"2782,""no way to tell editable content from non-editable content"",""major""";;
"5978,""""""window.navigator.plugins[i].name"""" returns plugin filename instead of plugin name."",""major""";;
"5040,""Turn on support of external entitity replacement"",""major""";;
"9296,""Page layout is way screwed up"",""major""";;
"8990,""[BLOCK] submenus aren't generated at all"",""major""";;
"7958,""Need Charset Detection interface and implementation"",""major""";;
"9354,""Crash when typing in empty document"",""major""";;
"8762,""warner bros. site crashes apprunner"",""major""";;
"9461,""[BLOCKER] Editor dialogs pop down before displaying"",""major""";;
"9314,""Calling """"top.window.close()"""" from within a timeout crashes (in M7)"",""major""";;
"8868,""XML parser fails to parse utf-8 string correctly"",""major""";;
"9733,""[CODE] Missing call to remove content->frame mapping"",""major""";;
"8314,""{list} List markers omitted when the list element starts with a child block element"",""major""";;
"9774,""[PP] test16 crashes the browser under linux"",""major""";;
"5952,""Startup performance: RegisterComponent() needs optimization"",""major""";;
"9880,""[PP]page bombs gecko m7 mac!"",""major""";;
"1254,""search button not inserted into content correctly"",""major""";;
"3077,""nasty kludge: static link dependency from rdf.dll to layout.dll"",""major""";;
"5073,""ldap error """"no such attribute"""" after removing and adding an attribute value"",""major""";;
"7389,""CID used in QueryInterface and not IID"",""major""";;
"9495,""Assert and bad behaviour with colored text in editor"",""major""";;
"3787,""Object tag does not handle ActiveX controls"",""major""";;
"10552,""MLK: leak on every image load, [NECKO] related"",""major""";;
"4240,""linebreak- CJK line break incorrect in <P> and <A HREF> boundary."",""major""";;
"10520,""Last child of Body element not rendered."",""major""";;
"10553,""MLK: nsCharsetConverterManager"",""major""";;
"10559,""MLK:  nsCharsetConverterManager::CreateMapping()"",""major""";;
"10368,""[8.3] unicharutil.dll too long for Win9x"",""major""";;
"10230,""Detectch (japsm) does not detect any charsets"",""major""";;
"9129,""DETECTCH.EXE (japsm,cjkpsm) does not detect SJIS charset on this page correctly"",""major""";;
"6432,""JS window.onload = eh does not work in M5"",""major""";;
"3146,""[CODE] Anonymous table frames cause leaking of content objects"",""major""";;
"8546,""[4.xP] Relative links do not function"",""major""";;
"8975,""Circular ref counting between nsHTMLFragmentContentSink and nsParser"",""major""";;
"2687,""Crash: Column frames not placed in cell map on incremental reflow"",""major""";;
"8489,""Undefined background when mixing widgets with background images"",""major""";;
"7499,""MLK in nsPluginsDirWin.cpp"",""major""";;
"9049,""update stops working with very large attribute lists"",""major""";;
"4369,""[PP]Core dump with CGI"",""major""";;
"650,""resizing window horiz. changes table layout incorrectly"",""major""";;
"1983,""Memory/socket allocation problems"",""major""";;
"10401,""[CRASH] XPToolkit toolbar test crashes"",""major""";;
"11477,""nsLocale does not get the User setting Locale"",""major""";;
"7032,""incorrect nsRect usages"",""major""";;
"8251,""Need to take relative URL to the external DTD"",""major""";;
"8374,""UMR (uninitialized memory read) in net_SaveCookies()"",""major""";;
"9598,""[PP]Linux apprunner not exiting clean"",""major""";;
"5975,""Sizing of SELECT element incorrect when inside <box> </box>"",""major""";;
"11322,""Animated GIF causes form fields to reset"",""major""";;
"9792,""<a href= xxx target=""""new""""> opens non-menu window"",""major""";;
"3145,""Leaking of nsBorderEdge struct"",""major""";;
"7108,""NECKO: My.yahoo.com bookmarks don't work."",""major""";;
"9009,""nsNetlibService::CreateURL bug"",""major""";;
"9933,""Content is missing from the page"",""major""";;
"7585,""infinite loop in layout?"",""major""";;
"8892,""NECKO: M7 Crashes when given localhost url"",""major""";;
"4790,""Can't get PerLDAP to work with ActiveState"",""major""";;
"10743,""Repositioning DIV via JavaScript doesn't work"",""major""";;
"9788,""[PP] Small ad image blowup/overlap problem"",""major""";;
"12410,""Assert/abort on this URL"",""major""";;
"9000,""[PP] Invalid PNG crashes M7"",""major""";;
"12238,""GFX select widget: clear and refill items does not update display"",""major""";;
"12548,""Selects as ListBoxes do not select"",""major""";;
"10479,""Problem with imagemap"",""major""";;
"12529,""[PP]nsUnixToolkitService not initializing refcnt"",""major""";;
"3723,""XPCOM needs shutdown"",""major""";;
"12881,""crash dealing with several very long words in a block"",""major""";;
"4431,""XML must handle <?xml encoding=...?>"",""major""";;
"13217,""Crash comparing nsJSID to Components.interfaces.foo"",""major""";;
"13174,""Make JSRuntimeService do all construction/destruction of JSRuntimes"",""major""";;
"10459,""M8 build crashed in GIF decoder..."",""major""";;
"649,""vertical centering"",""major""";;
"7595,""onchange function never gets called for GFX text control"",""major""";;
"12331,""Crash at loading this CSS1 file"",""major""";;
"13616,""MLK: nsID::ToString() must be freed in intl components!"",""major""";;
"11776,""area/img frame Reflow is doing arithmetic on NS_UNCONSTRAINEDSIZE"",""major""";;
"13367,""assert bringing up mail compose window"",""major""";;
"9176,""floating element in table messes things up when inside centered block"",""major""";;
"7141,""Window.open() with 1 parameter loads URL of child window in parent window"",""major""";;
"13563,""Can't select options in SELECT list boxes!"",""major""";;
"8123,""nsWindow::DispatchWindowEvent returns PR_TRUE even when the event wasn't handled"",""major""";;
"13688,""a white-space: -moz-pre-wrap style on body causes whitespace in <head> to render"",""major""";;
"9347,"".js source files not loaded sequentially"",""major""";;
"14486,""UMR in nsTextFrame::Reflow, causing disk hits on reflow"",""major""";;
"8963,""Missing ads and """"bump"""" text string all over www.cnet.com page"",""major""";;
"7030,""Fuzzy rendering when scrollingwith cursor keys"",""major""";;
"14613,""Submenu of Auto-Detect for Japanese is wrong spelling"",""major""";;
"4681,""[I18N][ENDER] Chinese pages not displayed properly"",""major""";;
"12046,""[PP]Strres-test.xul is not found in mac and linux build"",""major""";;
"12389,""Apprunner doesn't load this page (just one frame)"",""major""";;
"7901,""{inc} When form is submitted, contents move to the left"",""major""";;
"13666,""click search button asserts, code makes illegal assumption"",""major""";;
"14292,""MLK: -size ?- nsWidget::GetXIC()"",""major""";;
"12296,""Excessive string allocations (component manager)"",""major""";;
"13531,""url gfx text wiget looses mouse up events"",""major""";;
"5974,""View | Page source should display Japanese with META charset"",""major""";;
"5064,""[PP]Link icon on Mac8.5 does not function"",""major""";;
"14962,""text in table layout wrong on resize"",""major""";;
"12908,""Complex table layouts do NOT work."",""major""";;
"12592,""IR_StyleChanged of table cells triggers full table reflow."",""major""";;
"7853,""CDATA blocks and <!--"",""major""";;
"11812,""Dr Watson log generated running ProxyTest"",""major""";;
"5623,""MouseOver and MouseOut events occur inappropirately. (only on bottom edge of image?)"",""major""";;
"10428,""[PP] Multiple copies sometimes broken"",""major""";;
"15721,""Cookies not persistent"",""major""";;
"9013,""problems setting display to none dynamically near tables"",""major""";;
"15840,""A select element that doesn't contain the required option element causes a crash"",""major""";;
"14955,""fieldset with legend without form hangs viewer"",""major""";;
"15092,""[PP] Mac-Submenu of Auto-detect has 4 times duplicate"",""major""";;
"13858,""Selection problem while loading"",""major""";;
"14181,""Coredump on url"",""major""";;
"15581,""&nbsp dos not work in form widgets"",""major""";;
"8643,""Cyrillic letters don't shown on forms for some charset."",""major""";;
"16624,""textareas garble newline character entities"",""major""";;
"15729,""[BLOCKER] document.write() has trouble with password and text values."",""major""";;
"13744,""MLK:72 bytes leaked - www.visa.com - [top100] [NS_NewHTMLInputElement"",""major""";;
"15292,""ComponentManager needs to implement nsWeakReference"",""major""";;
"12221,""[Dogfood] Gfx text controls need to notify on mouse events"",""major""";;
"16238,""Crash on test12 with gfx scrollbars enabled"",""major""";;
"10909,""[PP]GFX-rendered widgets are ugly!"",""major""";;
"15606,""nsICookieStorage not implemented"",""major""";;
"16202,""PR_Now() resolution on Mac only 1 second"",""major""";;
"9945,""Japanese URL's titles in What's related is displayed as garbage"",""major""";;
"8737,""Border code not optimized to draw only within clipped region"",""major""";;
"15607,""nsIPluginManager2::FindProxyForURL() returns E_NOTIMPL"",""major""";;
