"686,""reflow of tables doesn't reposition caption"",""normal""";;
"1723,""collapsing borders not implemented"",""normal""";;
"1244,""add banner has horizontal scrollbar"",""normal""";;
"580,""CSS !important doesn't work"",""normal""";;
"1803,""Nested tables hosed"",""normal""";;
"2518,""Website's background picture is not being layed out."",""normal""";;
"699,""table layout not correct"",""normal""";;
"2829,""Can't read plain text files"",""normal""";;
"796,""Table totally hosed"",""normal""";;
"436,""Doesn't display some GIFs"",""normal""";;
"689,""table alignment not quite right in constrained layout case"",""normal""";;
"492,""Multiple ALIGN=""""LEFT"""" tables don't render"",""normal""";;
"570,""Courier, Times New Roman fonts don't display in Test 0"",""normal""";;
"596,""NGLayout crashes on this URL"",""normal""";;
"693,""We're parsing comments strangely inside a script tag"",""normal""";;
"697,""Raptor build status displays incorrectly"",""normal""";;
"807,""'em' units don't work"",""normal""";;
"839,""border widths can be negative"",""normal""";;
"861,""CSS parser eats style rule after malformed rule"",""normal""";;
"908,""Lots of temporary SupportsArrayImpl objects"",""normal""";;
"879,""BUILD: modules/libimg/src/png_png.cpp and config'ed --with-png"",""normal""";;
"823,""LISTING and PRE tag's need to eat the first newline"",""normal""";;
"857,""<ins> and <del> tag parsed incorrectly"",""normal""";;
"863,""we dont' support the hex notation for numeric character references"",""normal""";;
"847,""IID collision in nsIConnectionPoint"",""normal""";;
"947,""Table cell content overrides cell borders"",""normal""";;
"926,""The style attribute with a CSS """"text-decoration"""" value is numeric"",""normal""";;
"966,""border: none creates a 5 pixel border"",""normal""";;
"973,""CSS font-size: """"small"""" looks like normal font size"",""normal""";;
"968,""Viewer crashes when rendering the above url"",""normal""";;
"942,""layout is incorrect on this page"",""normal""";;
"1043,""DIV should be considered to terminate a P"",""normal""";;
"1039,""Negative CSS font-size should not be allowed"",""normal""";;
"1065,""image alignment"",""normal""";;
"1052,""Top borders are a pixel too thin"",""normal""";;
"1051,""Default CSS border-width=medium border-style=none"",""normal""";;
"1072,""""""Negative"""" characters"",""normal""";;
"1210,""Fix to avoid multiple declaration of PrefChangedFunc"",""normal""";;
"1126,""Setting column width on COLGROUP not implemented yet"",""normal""";;
"1127,""SPAN attribute on COL element not implemented yet"",""normal""";;
"1128,""Proportional Width Table Columns not implemented yet"",""normal""";;
"1249,""NGLayout uses the wrong initial value for border-color"",""normal""";;
"1216,""Fix for layout/events/src/nsDOMEvent.h"",""normal""";;
"1245,""content has horizontal scroll bar that it shouldn't have"",""normal""";;
"1142,""Strange Border Bugs"",""normal""";;
"1181,""z-index doesn't work"",""normal""";;
"1255,""v-scroll bar doesn't appear until I manually resize the window"",""normal""";;
"1135,""DEL and INS need some default style"",""normal""";;
"1139,""DFN tag needs default style"",""normal""";;
"1178,""CSS 2 attribute selectors are not implemented yet"",""normal""";;
"1211,""Change to libimg/src/if.h to prevent multiple declaration of TimeoutCallbackFunction"",""normal""";;
"1125,""</FONT size> problem"",""normal""";;
"1166,""<BUTTON> is confined to <FORM>"",""normal""";;
"1169,""wrong font in illegal HTML"",""normal""";;
"1203,""missing """" breaks page"",""normal""";;
"1206,""character entities fail erratically"",""normal""";;
"1220,""Page Lays Out Wrong"",""normal""";;
"1224,""This tables page is on crack"",""normal""";;
"1232,""the following simple document parses wrong"",""normal""";;
"1208,""No horizontal scrollbar"",""normal""";;
"1265,""Reflow of this document leaves artifacts"",""normal""";;
"1285,""No CSS2 position:fixed support"",""normal""";;
"1287,""picture frame missing"",""normal""";;
"1270,""'smaller' problem on sans-serif font"",""normal""";;
"1340,""Search with @ATTRS specified, Perl_safemalloc missing"",""normal""";;
"1331,""Improve LDIF.pm module"",""normal""";;
"1344,""Makefile.PL: """"sl"""" is needed on hpux for shared library"",""normal""";;
"1385,""Bug in API.pm when updating multiple attributes"",""normal""";;
"1387,""Bug in API.xs handling zero-value attributes"",""normal""";;
"1288,""Unicode Conversion- NGLayout doesn't support windows-1252 charset"",""normal""";;
"1351,""font-variant small-caps and accented letters"",""normal""";;
"1401,""table borders almost invisible"",""normal""";;
"1329,""#line problems on some platforms"",""normal""";;
"1333,""RFE: Better documentation on installing PerLDAP on NT"",""normal""";;
"1397,""RFE: Access methods to more Conn:: internals"",""normal""";;
"1313,"" @import media, cross-folder imports, <link media> all buggy"",""normal""";;
"1321,""Background Image on This Page Doesn't Load"",""normal""";;
"1346,""simple parsing bug"",""normal""";;
"1377,""style incorrect in left column"",""normal""";;
"1414,""View Source takes line breaks out of comments"",""normal""";;
"1406,""Frame of a tnt.turner.com URL does not render right"",""normal""";;
"1390,""Doc: README/FAQ should indicated supported Binary platforms"",""normal""";;
"1488,""ss: Yahoo doesn't layout properly - 70% of content doesn't appear at all"",""normal""";;
"1430,""Client side imagemaps don't work in some nested tables"",""normal""";;
"1520,""ss:Main table does not render"",""normal""";;
"1474,""<table width=n%> lays out incorrectly."",""normal""";;
"1523,""Bottom table ('About our WebSite/Feedback') is duplicated"",""normal""";;
"1491,""Poorly formed entity doesn't resolve correctly"",""normal""";;
"1513,""ss:parser creating bad document"",""normal""";;
"1521,""Background does not render."",""normal""";;
"1529,""ss:plain text file regression..."",""normal""";;
"1615,""Image does not lay out"",""normal""";;
"1627,""Still leaks in xpviewer and viewer on win95"",""normal""";;
"1585,""Images and links not centered properly within table"",""normal""";;
"1588,""http://www.rsac.org has scrolling problems (possible parser error)"",""normal""";;
"1607,""www.hotfiles.com is missing the left blue bar."",""normal""";;
"1580,""scrollbars and margins on BODY"",""normal""";;
"1610,""[OPTIMIZED] Table column does not paint."",""normal""";;
"1623,""Table outline cut off on amazon.com, but not on NT debug build"",""normal""";;
"1686,""horizontal bloat-the page is much wider than it should be"",""normal""";;
"1672,""Cell width problem"",""normal""";;
"1722,""Table empty cells not implemented"",""normal""";;
"1731,""listing of directories is not formatted correctly"",""normal""";;
"1683,""""""P"""" handling is broken (a recent regression)"",""normal""";;
"1695,""text has wrong font"",""normal""";;
"1743,""Invalid attribute causes skiped text"",""normal""";;
"1757,""win32 debug build dies with an assertion failure"",""normal""";;
"1691,""Not reading ALT content in Applet tag when Java is off"",""normal""";;
"1756,""Error in reflow when document is scrolled"",""normal""";;
"1685,""background image/color is not displayed"",""normal""";;
"1771,""This site causes crash in ns4xPlugin.cpp::Initialize()"",""normal""";;
"1774,""Default table cell width not backwards-compatible"",""normal""";;
"1800,""Error in rendering nesting tables"",""normal""";;
"1804,""Error rendering HTML table before first window resize"",""normal""";;
"1806,""TextArea HTML Forms Crash if invalid attrib - code fix included"",""normal""";;
"1827,""Frame size not found"",""normal""";;
"1770,""CSS @import doesn't pick up BASE HREF"",""normal""";;
"1790,""Z-index layering incorrect"",""normal""";;
"1798,""border sizes: thin/medium/thick cause rounding problems"",""normal""";;
"1812,""CSS // should *not* be treated as comments"",""normal""";;
"1811,""HTML Form Exception when DOM Object doesn't exist AND FIX"",""normal""";;
"1791,""www.indirect.com completely hosed today"",""normal""";;
"1834,""problem parsing nested DLs without closing tags on DD or DT"",""normal""";;
"1831,""horizontal scroller triggers vertical scroller"",""normal""";;
"1917,""Header displays, but nothing else"",""normal""";;
"1899,""Attribute Selector interpreted as... BODY (?)"",""normal""";;
"1900,""Transparent background on HTML element causes undefined background"",""normal""";;
"1863,""P should be terminated by another P"",""normal""";;
"1855,""CSS2's bottom: and right: positioning properties don't work"",""normal""";;
"1870,""Negative margins messed up"",""normal""";;
"1905,""header <h1> <h2> .. etc. Displaying improperly."",""normal""";;
"1911,""body width not honored"",""normal""";;
"1921,""In the boxacidtest, right margin problems - (scroolbar, I believe)"",""normal""";;
"2103,""remove() doesn't remove the attribute..."",""normal""";;
"1999,""table frame=""""void"""" renders incorrectly"",""normal""";;
"1978,""""""border-top-color: black"""" doesn't work"",""normal""";;
"2036,""Horizontal Scrollbars Appear When They Aren't Needed"",""normal""";;
"2035,""problems with ua.css"",""normal""";;
"1933,""table displays incorrectly - <table> closed prematurely"",""normal""";;
"2050,""the url above doesnt render properly in nglayout"",""normal""";;
"2081,""P tags not handled properly"",""normal""";;
"2099,""Image file within minimal table doesn't display"",""normal""";;
"1945,""gecko handles OBJECT incorrectly for native image types"",""normal""";;
"1998,""background draws under border, should only draw to padding edge"",""normal""";;
"2040,""Setting margins on BODY to 0px via CSS"",""normal""";;
"2206,""Simple Mouse down on page causes page redraw"",""normal""";;
"2126,""bad layout"",""normal""";;
"2264,""Assert in content sink"",""normal""";;
"2271,""Various parsing problems"",""normal""";;
"2258,""[PP] Messed up drawing after scrolling"",""normal""";;
"2138,""[PP] The CvtURL test app doesn't exist on linux"",""normal""";;
"2142,""[PP] The htmlrobot test app doesn't exist on linux"",""normal""";;
"2144,""[PP] The netTest test app doesn't exist on linux"",""normal""";;
"2169,""[PP] The regFactory test app doesn't exist on linux"",""normal""";;
"2272,""Nested list prematurely terminated"",""normal""";;
"2109,""vertical alignment of floats messed up"",""normal""";;
"2261,""absolute positioning not being done relative to containing block"",""normal""";;
"2270,""Script tag causes parsing problems"",""normal""";;
"2295,""Viewer crash in nsTimerMac"",""normal""";;
"2294,""[PP] Crash loading any URL"",""normal""";;
"2355,""page doesn't complete loading"",""normal""";;
"2358,""parser:  frameset terminates early"",""normal""";;
"2328,""media attribute values are parsed incorrectly"",""normal""";;
"2277,""hang assert when interrupting doc load"",""normal""";;
"2317,""Layout error -- <P> inside of <UL> breaks <TABLE>"",""normal""";;
"2331,""Sample 0 doesn't display """"Italic Verdana"""" properly"",""normal""";;
"2353,""layout of form elements messed up"",""normal""";;
"2404,""List parsing"",""normal""";;
"2408,""Parsing html with missing"",""normal""";;
"2412,""Attribute value not correctly parsed"",""normal""";;
"2435,""Parser regression"",""normal""";;
"2452,""One word is way too low"",""normal""";;
"2455,""Optional end tags not optional"",""normal""";;
"2457,""Invalid html in table"",""normal""";;
"2459,""Parsing table"",""normal""";;
"2450,""right and bottom margins on HTML is incorrectly sized"",""normal""";;
"2512,""Default Namespaces don't work in XML"",""normal""";;
"2568,""Crash when switching between test app 9 and 2"",""normal""";;
"2508,""Backward Adaptor Needs to provide a Service Manager"",""normal""";;
"2637,""BUTTON element style is different from INPUT element buttons"",""normal""";;
"2632,""INPUT attribute TABINDEX not implemented"",""normal""";;
"2638,""SELECT attribute TABINDEX not implemented"",""normal""";;
"2641,""TEXTAREA attribute TABINDEX not implemented"",""normal""";;
"2501,""media on stylesheets no longer working"",""normal""";;
"2460,""Many problems (messed-up table and background color/foreground text color most prominent)"",""normal""";;
"2472,""Parsing comments"",""normal""";;
"2473,""Parsing table"",""normal""";;
"2505,""build 011999 renders table cell improperly"",""normal""";;
"2551,""Parsing list in table"",""normal""";;
"2560,""Bad rendering of table/text"",""normal""";;
"2572,""http://www.nasa.gov: Portion of main table should be restricted to 600 pixel width"",""normal""";;
"2601,""http://disney.go.com/: chrome box at top does not lay out properly"",""normal""";;
"2625,""Comments are displayed on page"",""normal""";;
"2592,""inherit keyword doesn't work for auto margins"",""normal""";;
"2661,""Background does not cover entire page"",""normal""";;
"2540,""Can't build current CVS Tree (21.1.99) Getting internal compiler error"",""normal""";;
"2736,""Table must be re-sized to render correctly"",""normal""";;
"2778,""TEXTAREA elements do not render contents"",""normal""";;
"2699,""Parsing list in table"",""normal""";;
"2700,""Nested lists"",""normal""";;
"2702,""Parsing invalid html"",""normal""";;
"2753,""lists (UL,LI) do not end correctly."",""normal""";;
"2759,""</ul> tags don't seem to be recognized."",""normal""";;
"2771,""nested list parsing problem"",""normal""";;
"2743,""Canvas is three pixels too wide for viewport, causing scroll bar problems"",""normal""";;
"2748,""Switching alternate stylesheets causes viewport shift"",""normal""";;
"2775,""The CSS @import construct really is incorrectly parsed."",""normal""";;
"2923,""[PP] Checkboxes don't display"",""normal""";;
"2790,""Malformed HTML hangs parser"",""normal""";;
"2807,""BLOCKQUOTE indent disappears part way through document"",""normal""";;
"2867,""percentage widths done wrong (regression)"",""normal""";;
"2817,""Rendering of my single row table"",""normal""";;
"2822,""<p> break not shown between </span> & <address>"",""normal""";;
"3075,""Crash with clsid specified for ActiveX control"",""normal""";;
"3037,""Setting a """"display: table-cell"""" style rule on a SPAN crashes viewer"",""normal""";;
"3105,""Table nested in table with pre-set WIDTH yields truncated table content (I think)"",""normal""";;
"3102,""Stray semicolon not parsed as part of selector"",""normal""";;
"3116,""ex and em units are way off"",""normal""";;
"2993,""gaps with absolute positioning of auto"",""normal""";;
"3027,""right not inheriting for absolutely positioned elements"",""normal""";;
"3089,""page bizarrely long"",""normal""";;
"3178,""nsServiceManager::ReleaseService cannot handle different IID which share the same CID"",""normal""";;
"3154,""Events don't work with fixed positioning"",""normal""";;
"3190,""body text of page is truncated"",""normal""";;
"3189,""NAV compatibility: <p> auto-closure at <form> and <hr>"",""normal""";;
"3343,""inconsistant treatment of $self->{""""_self_obj_""""} in Entry.pm"",""normal""";;
"3295,""Crash clicking on Print button: nsScrollbar::SetParameters"",""normal""";;
"3327,""Site horribly misrendered, reports a BUG"",""normal""";;
"3241,""position attribute of style ignored"",""normal""";;
"3306,""Absolute positioning is totally hosed"",""normal""";;
"3332,""registry can't handle '/' '\' and '=' characters"",""normal""";;
"3293,""When one BUTTON is clicked multiple visual feedback is given"",""normal""";;
"3451,""rollover for grippies doesn't work unless toolbox starts at top of window"",""normal""";;
"3374,""script element is not processed when nested"",""normal""";;
"3377,""inherited virtual function is hidden"",""normal""";;
"3411,""View manager fails to check return values"",""normal""";;
"3366,""adjacent sibling selector quirks"",""normal""";;
"3460,""whitespace handling in attribute selectors"",""normal""";;
"3479,""no green background, no orange strip on this page"",""normal""";;
"3448,""Adjacent sibling selector fails unless content is well-formed"",""normal""";;
"3461,""Improper line break with DEL tag following a P tag"",""normal""";;
"3595,""[BLOCK] [PP] gtk+: Double click not handled (in tree view)"",""normal""";;
"3514,""Style changes not removed from table cells on reflow."",""normal""";;
"3491,""second element in table is almost infinitely large"",""normal""";;
"3594,""Disabled BUTTONs still give visual feedback"",""normal""";;
"3532,""First time toolbar layout incorrect (buttons too big)"",""normal""";;
