"1853,""if xpviewer.exe Sample->Examle 3 the simple table not layed out correctly"",""trivial""";;;
"2030,""Gecko developer release doesn't seem to comprehend the """"pre"""" HTML element, which as an web designer, I find Very important that gets fixed."",""trivial""";;;
"2899,""Typo in the default page displayed (demo #0)"",""trivial""";;;
"3227,""Doesn't put line breaks where they should be"",""trivial""";;;
"382,""No not shared library support in Makefiles"",""trivial""";;;
"151,""warning fix : ns/nsprpub/pr/src/threads/prdump.c"",""trivial""";;;
"6109,""Bullet offset to right"",""trivial""";;;
"7155,""[PP]view | character set | mac roman displays twice"",""trivial""";;;
"7156,""view | character set | baltic rim… should read baltic"",""trivial""";;;
"6749,""CDATA blocks: end tags and <!--"",""trivial""";;;
"6154,""engine not defined error"",""trivial""";;;
"7166,""STRICT is already defined"",""trivial""";;;
"7957,""[4.xP] <Title> data incorrect"",""trivial""";;;
"8191,""Parsing of BGCOLOR is incorrect"",""trivial""";;;
"1302,""Over-specified/competing colspan counts break tables"",""trivial""";;;
"11063,""Signed/unsigned warnings in expat/xmlparse/xmlparse.c"",""trivial""";;;
"3088,""top and bottom margins on nested DLs"",""trivial""";;;
"14446,""typo in ua.css: """"mulitple"""" instead of """"multiple"""""",""trivial""";;;
"12230,""In OPTGROUPs, fonts don't match when list dropped down"",""trivial""";;;
"14566,""{css-moz} -moz-border-radius and % values"",""trivial""";;;
"8495,""Left side of page is not accessible, even with the horizontal scroll bar"",""trivial""";;;
"18603,""Cookies dialog has minor grammatical error"",""trivial""";;;
"14315,""color picker draws an extra row on default palette"",""trivial""";;;
"9247,""Compiler warnings in mozilla/network/cache/mkcache.c, extcache.c"",""trivial""";;;
"5908,""minor typo in status bar 'unable to locate host' message"",""trivial""";;;
"14944,""{css-moz} -moz-rounded-corners and uneven border-styles"",""trivial""";;;
"12032,""Label does not match command in chrome dtd file"",""trivial""";;;
"18541,""While highliting parts of this page, weird boxes show up"",""trivial""";;;
"18662,""g++ always used"",""trivial""";;;
"9735,""[PP] Mac - 'Mozilla Preference' file not correctly named"",""trivial""";;;
"3026,""990204[4.xP]: Text appears too large for column"",""trivial""";;;
"23606,""Sidebar shows incorrect cursor"",""trivial""";;;
"34774,""Remove color picker frame code in layout/xul/base/src"",""trivial""";;;
"38429,""Page renders incorrectly"",""trivial""";;;
"39359,""unicode-Fehler in HTML-Form-Submit-Button: Nummer statt """"ü"""""",""trivial""";;;
"42804,""inconsistent small/capital letter in pref"",""trivial""";;;
"42975,""Typo in pref"",""trivial""";;;
"42982,""Typo in Composer menu"",""trivial""";;;
"42992,""Wrong grammar in composer menu"",""trivial""";;;
"42994,""prefs: too many dots, too few spaces"",""trivial""";;;
"43021,""No localization of taskbar tooltips"",""trivial""";;;
"41893,""hspace and vspace attributes ignored on tables"",""trivial""";;;
"45471,""wording and commas in security warning dialog"",""trivial""";;;
"45476,""Localized string in necko.properties"",""trivial""";;;
"46525,""UMR in OpenProcessToken called from  PR_NT_InitSids [ntsec.c:80]"",""trivial""";;;
"28634,""2 warnings, xmltok.c (blamed in shrike Linux Cobbler)"",""trivial""";;;
"46658,""Default pattern for file save dialog on Unix is *.*, which is a windowsism"",""trivial""";;;
"42643,""Incorrect text hilite on mouseover inside table cells"",""trivial""";;;
"52286,""DESTROY method in Entry.pm V1.4 CLEAR errors"",""trivial""";;;
"12845,""Text widgets do not draw correctly in small window."",""trivial""";;;
"52373,""<plaintext> is not acting as a container, doesn't get monospace font"",""trivial""";;;
"60752,""Wording issue"",""trivial""";;;
"62468,""Wording in advanced prefs"",""trivial""";;;
"62469,""Typo&wording in advanced cookie prefs"",""trivial""";;;
"62472,""Wording in newsdownload dialog"",""trivial""";;;
"62825,""Wording in menu"",""trivial""";;;
"37794,""checked and unchecked images for checkboxes have different heights"",""trivial""";;;
"20027,""Round buttons get slightly clipped on mouseup"",""trivial""";;;
