"Bug ID,""Summary"",""Severity"""
"1543756,""[Export] Add Discovery preferences, optimized images and bug fixes to Activity Stream"",""enhancement"""
"1544126,""[Export] Add FxA snippet, pinned targeting and bug fixes to Activity Stream"",""enhancement"""
"1546190,""[Export] Add sharper images, collapsible devtools and bug fixes to Activity Stream"",""enhancement"""
"1546535,""[Export] Add hardcoded layout, special snippet and bug fixes to Activity Stream"",""enhancement"""
"1546808,""[Export] Add always-fresh layout, below-search design and bug fixes to Activity Stream"",""enhancement"""
"1548388,""[Export] Add focus states, fill telemetry and bug fixes to Activity Stream"",""enhancement"""
"1548952,""[Export] Add offline fallback, request timeouts and bug fixes to Activity Stream"",""enhancement"""
"1549863,""[Export] Add 3-card layout, card adjustments and bug fixes to Activity Stream"",""enhancement"""
"1550300,""[Export] Add top source, unblank discovery and bug fixes to Activity Stream"",""enhancement"""
"1550883,""[Export] Add line-clamp ellipsis, anonymous images and bug fixes to Activity Stream"",""enhancement"""
"1551751,""[Export] Add return telemetry, faster stories and bug fixes to Activity Stream"",""enhancement"""
"1552366,""[Export] Add placeholder cards, wrapping buttons and bug fixes to Activity Stream"",""enhancement"""
"1552599,""[Export] Add accessible links, focus refinements and bug fixes to Activity Stream"",""enhancement"""
"1553334,""[Export] Add experimentation sizing, card actions and bug fixes to Activity Stream"",""enhancement"""
"1554322,""[Export] Add accessible content, static clamping and bug fixes to Activity Stream"",""enhancement"""
"1558441,""[Export] Add scrollable scrollbar, try-again button and bug fixes to Activity Stream"",""enhancement"""
"1559536,""[Export] Add disabled checkboxes, reenabled stories and bug fixes to Activity Stream"",""enhancement"""
"1561811,""[Export] Add fluent performance, 7-row pocket and bug fixes to Activity Stream"",""enhancement"""
"1562320,""[Export] Add Release discovery, AMO telemetry and bug fixes to Activity Stream"",""enhancement"""
"1563243,""[Export] Add optimistic images, string robustness and bug fixes to New Tab Page"",""enhancement"""
"1566202,""[Export] Add dismissed thumbnail, autohide whatsnew and bug fixes to New Tab Page"",""enhancement"""
"1569306,""[Export] Add trailhead cards, accessibile headers and bug fixes to New Tab Page"",""enhancement"""
"1572640,""[Export] Add triplets animation, RTAMO installation and bug fixes to New Tab Page"",""enhancement"""
"1573174,""[Export] Add Pocket footers, Monitor adjustments and bug fixes to New Tab Page"",""enhancement"""
"1574334,""[Export] Add lazy cards, story engagements and bug fixes to New Tab Page"",""enhancement"""
"1570745,""[Export] Add extended triplets, moments page mechanism, special snippet"",""enhancement"""
"1555507,""[Export] Add modal escaping, simple prerendering and bug fixes to Activity Stream"",""enhancement"""
"1577888,""[Export] Add whatsnew badge, optimistic cards and bug fixes to New Tab Page"",""enhancement"""
"1579949,""[Export] Add text-promo designs, after-login triplets and bug fixes to New Tab Page"",""enhancement"""
"1577331,""[Export] Add TopSites spocs, promo backend and bug fixes to New Tab Page"",""enhancement"""
"1581195,""[Export] Add bookmarked CFR, errored snippet and bug fixes to New Tab Page"",""enhancement"""
"1584299,""[Export] Add sending PDFs, undismissing spocs and bug fixes to New Tab Page"",""enhancement"""
"1567243,""[Export] Add scrollable modal, autofocusable menus and bug fixes to New Tab Page"",""enhancement"""
"1586093,""[Export] Add engagement pref, join variant and bug fixes to New Tab Page"",""enhancement"""
"1588215,""[Export] Add modal-less welcome, send-tab recipes and bug fixes to New Tab Page"",""enhancement"""
"1589389,""[Export] Add privacy menu, optional sync and bug fixes to New Tab Page"",""enhancement"""
"1589802,""[Export] Add welcome experiments, pressed styles and bug fixes to New Tab Page"",""enhancement"""
"1595901,""[Export] Add spoc privacy modal fix, bug fixes, and personalization switch to New Tab Page"",""enhancement"""
"1597320,""[Export] Add string change and test to New Tab Page"",""enhancement"""
"1601754,""[Export] Add Pocket tile type to Top Story click ping"",""enhancement"""
