"Bug ID","Summary","Severity"
1634663,"Declare callers of `Selection::GetRangeAt` `const` when possible","N/A"
1634806,"win64-plain/debug build is misconfigured","N/A"
1634370,"Make `docshell/` buildable outside of `unified-build` environment","N/A"
1634474,"Make `dom/html/` buildable outside of `unified-build` environment.","N/A"
1635128,"Simplify js::BaseScript flag accessors","N/A"
1635039,"Add a BaseShape flag for frozen elements","N/A"
1634206,"Change the default value of InputAPZContext::sApzResponse to nsEventStatus_eSentinel","N/A"
1634698,"Some Execute/ExecuteKernel cleanup","N/A"
1635109,"Cleanups in JS::CompileOptions","N/A"
1635115,"Initialize ""input"" ImmutableScriptFlags in SharedContext","N/A"
1635119,"Better align SharedContext/FunctionBox to ImmutableScriptFlags","N/A"
1635289,"Remove AbstractScopePtr::canonicalFunction()","N/A"
1635464,"Box the ParseError to reduce the size of Result type.","N/A"
1618637,"Initialize JSFunction::nargs when allocating function in function","N/A"
1635395,"Remove JSOp::CheckIsCallable","N/A"
1635432,"Create FunctionBox without a FunctionCreationData","N/A"
1635635,"Use ScriptThingsVector for FunctionCreationData","N/A"
1630038,"remove HPKP (http public key pinning) entirely (not built-in pins)","N/A"
1636058,"Fix building NSS on Debian s390x, mips64el, and riscv64","N/A"
1635684,"[MIPS] Failed to build js  on mips64 (error: no matching member function for call to 'bailoutTest32')","N/A"
1635898,"Remove remains of removed approach to initializers","N/A"
1636030,"Warp: transpile some more CacheIR instructions","N/A"
1636206,"HACL*  update after changes in libintvector.h","N/A"
1633328,"support tabs.goForward() and tabs.goBack() for Android","N/A"
1635654,"Update in-tree docs","N/A"
1635717,"Warp: don't use an IC for JSOp::InitElemArray","N/A"
1636059,"Warp: use template objects for NewArray and NewObject JSOps","N/A"
1636247,"Remove ParserBase::sourceObject_ field","N/A"
1585496,"Add Fission crash test for bug 1584467","N/A"
1635976,"Remove frontend::FunctionTree type","N/A"
1636307,"Reenable device lost testing on WebRender","N/A"
1636631,"Update in-tree docs to reflect May 8th 2020 updates to triage definition","N/A"
1635958,"Warp: Transpile even more compare ops","N/A"
1636183,"Expose QuoteString internals via header files","N/A"
1636794,"Avoid running publishDeferredFunctions for Reflect.parse","N/A"
1636795,"Remove more virtual methods from ScriptStencil","N/A"
1636796,"Add ScriptStencil::intoScript","N/A"
1634033,"Lazify customize mode, including customizemode-only panels and menupopups","N/A"
1635275,"Irregexp: Add target for differential fuzzing","N/A"
1633396,"Don't check the blocklist for builtin/system addons","N/A"
1635878,"CacheIR: Optimize TypedArray length","N/A"
1593186,"JSWindowActor.actorCreated only available in child, not parent","N/A"
1631407,"Update the JS NameResolver for Stencil","N/A"
1635582,"Figure out what do with InterfaceObjectToString / DOMIfaceAndProtoJSClass::mToString","N/A"
1636111,"Add DAMP test for Inspector Rules view with many CSS variables","N/A"
1636414,"Remove no longer used truncateInput_ and storageType_ from MStoreUnboxedScalar","N/A"
1636918,"Add folding for more guard instructions","N/A"
1637144,"Syntax for different moz.build paths is undocumented","N/A"
1637283,"Prevent Cell::is<T> footguns around derived types","N/A"
1637299,"Add CompilationInfo::initFromLazy","N/A"
1630980,"Add distribution search engine defaults and orders to modern search configuration","N/A"
1635091,"Wasm SIMD opcode renumbering + wat update","N/A"
1636195,"Enable for javascript.options.property_error_message_fix for MOZ_DEV_EDITION","N/A"
1636870,"Add CodeGenerator::emitCreateBigInt","N/A"
1637165,"Expose quota constants and getBytesInUse to mozIExtensionStorageArea","N/A"
1629293,"Expose js::ErrorReport in public JSAPI","N/A"
1636495,"Fix error handling in nsContentUtils::IsPatternMatching","N/A"
1637300,"Further reduce unnecessary scene building","N/A"
1637506,"Make the allTrue porting APIs x86_shared","N/A"
1637647,"Update glean_core to at least v30","N/A"
